GENE	Count	PS_Mean_Exp	Other_Mean_Exp	PS_Median_Exp	Other_Median_Exp	PS_Mut	Other_Mut	Expression_Compare_Wilcox_Test_p	Mutations_Compare_Fisher_Test_p
ARID1A	 2	 5.731	 4.8460	 5.731	 4.9066	0.00000	0.165775	2.389e-01	2.822e-02
ARNT	 9	 4.426	 4.4321	 4.345	 4.4060	0.00000	0.025271	5.050e-01	5.564e-14
ATM	 2	 4.278	 4.2628	 4.278	 4.2612	0.00000	0.169340	5.009e-01	2.943e-02
AXIN1	 4	 4.082	 4.0978	 4.031	 4.1127	0.00000	0.037567	5.534e-01	3.054e-06
BAX	 4	 7.034	 7.2595	 6.973	 7.2963	0.00000	0.014311	7.220e-01	1.195e-07
CASP8	 1	 4.939	 4.3420	 4.939	 4.5173	0.00000	0.049822	2.330e-01	5.151e-02
CBFB	 7	 5.236	 5.4893	 5.016	 5.5198	0.00000	0.003597	8.446e-01	1.051e-14
CCNC	 1	 5.091	 5.5447	 5.091	 5.5564	0.00000	0.003559	8.451e-01	5.329e-03
CDKN1A	25	 7.221	 5.0007	 7.178	 5.1048	0.00000	0.031599	7.286e-11	1.172e-32
CDKN1B	 2	 5.072	 4.8205	 5.072	 4.7858	0.00000	0.016043	3.076e-01	3.477e-04
CDKN2A	 1	 5.076	 3.7766	 5.076	 4.0505	0.00000	0.120996	4.137e-01	1.226e-01
CDKN2C	13	 5.714	 4.3396	 6.034	 4.4482	0.00000	0.020000	1.959e-04	3.130e-20
CHEK2	 8	 3.881	 4.3372	 3.752	 4.3653	0.00000	0.030631	9.756e-01	4.542e-12
CNBP	 6	 8.299	 8.2928	 8.248	 8.2898	0.00000	0.005386	5.173e-01	1.951e-12
CREBBP	 4	 3.868	 3.9876	 4.117	 4.0197	0.25000	0.137746	5.920e-01	9.963e-03
CUL3	 2	 5.561	 5.6603	 5.561	 5.6767	0.00000	0.028520	5.395e-01	9.671e-04
CUX1	 1	 4.360	 4.8744	 4.360	 4.8880	0.00000	0.124555	7.955e-01	1.261e-01
DNMT3A	 1	 3.506	 3.2848	 3.506	 3.2479	0.00000	0.051601	3.836e-01	5.329e-02
ELF3	 1	 6.801	 3.7756	 6.801	 3.2141	0.00000	0.026690	2.126e-01	2.842e-02
EP300	13	 3.632	 3.9263	 3.739	 3.9955	0.15385	0.143636	9.745e-01	5.988e-08
FBXO11	 2	 4.313	 4.8164	 4.313	 4.8278	0.00000	0.030303	9.389e-01	1.081e-03
FBXW7	 1	 3.493	 3.4353	 3.493	 3.3896	0.00000	0.076512	3.920e-01	7.815e-02
FLCN	 1	 5.859	 4.2109	 5.859	 4.1309	0.00000	0.033808	5.466e-02	3.552e-02
FOXO3	 1	 4.725	 3.4465	 4.725	 3.4581	0.00000	0.024911	6.581e-02	2.664e-02
JAK1	 3	 5.537	 5.2389	 5.314	 5.2334	0.00000	0.057143	2.821e-01	2.212e-04
KEAP1	33	 5.529	 5.5355	 5.609	 5.5677	0.03030	0.081132	5.183e-01	2.952e-30
LZTR1	 6	 5.005	 4.8547	 5.265	 4.8166	0.00000	0.050269	1.732e-01	3.123e-08
MEN1	 3	 4.441	 4.9055	 4.410	 4.9217	0.00000	0.028571	9.300e-01	3.275e-05
MYH9	 2	 6.751	 7.3680	 6.751	 7.3825	0.00000	0.092692	5.691e-01	9.045e-03
NF1	 9	 3.988	 4.0222	 4.150	 4.0704	0.11111	0.128159	5.321e-01	8.738e-07
NF2	52	 4.668	 4.2368	 4.801	 4.1530	0.03846	0.043053	1.427e-03	1.862e-51
NOTCH1	 1	 3.977	 2.8359	 3.977	 2.9373	0.00000	0.117438	1.189e-01	1.190e-01
NOTCH2	 2	 3.992	 4.4501	 3.992	 4.5720	0.00000	0.067736	8.087e-01	4.930e-03
PBRM1	 2	 5.010	 4.0806	 5.010	 4.1223	0.00000	0.074866	3.446e-02	5.980e-03
PIK3R1	 3	 4.317	 3.0340	 4.755	 2.9449	0.00000	0.042857	4.499e-02	9.887e-05
PML	 1	 3.927	 4.4014	 3.927	 4.4634	0.00000	0.046263	7.395e-01	4.796e-02
PPP2R1A	 1	 5.499	 6.8592	 5.499	 6.8575	0.00000	0.037367	9.561e-01	3.908e-02
PRKAR1A	 1	 7.050	 6.7702	 7.050	 6.7801	0.00000	0.017794	3.091e-01	1.954e-02
PTEN	92	 4.516	 4.2613	 4.465	 4.3957	0.02174	0.157113	7.051e-02	1.566e-55
PTPRC	 5	 3.343	 0.6619	 3.349	 0.1375	0.00000	0.073477	1.079e-02	2.960e-06
RB1	 8	 3.868	 3.9969	 3.843	 4.1119	0.12500	0.084685	8.076e-01	3.829e-07
RPL22	 1	 9.663	 9.2888	 9.663	 9.3092	0.00000	0.053381	2.072e-01	5.506e-02
RPL5	 1	11.063	10.3106	11.063	10.3018	0.00000	0.017794	1.019e-01	1.954e-02
