GENE	molm13	nomo1
ACACA	-0.215	-0.211
ACACB	0.587	0.324
ACAT1	0.690	0.544
ACLY	-1.582	-0.281
ACO1	0.741	0.810
ACSL4	-0.216	-0.388
AGPAT1	0.333	0.348
AGPAT2	0.702	0.543
AMFR	0.526	0.657
C12orf49	0.395	0.178
CAPN3	0.500	0.467
CDIPT	-1.325	-0.256
CDS2	-1.669	-1.189
CHP1	1.809	0.729
CPT1A	0.518	0.308
CPT2	0.524	0.313
CRLS1	-2.040	-0.801
CYB5B	-0.804	0.030
DERL2	0.780	0.420
FABP3	0.722	0.690
FABP5	-0.640	0.180
FABP6	0.902	0.975
FASN	0.502	0.706
G6PD	0.413	0.047
GLS	-0.076	-0.548
GLS2	0.649	0.464
GLUD1	0.553	0.549
GOT1	0.097	0.476
GOT2	-0.516	-0.239
GPAM	0.685	0.610
GPAT2	-0.545	-0.457
GPAT3	0.753	0.890
GPAT4	1.330	0.285
GPI	0.141	0.743
GPX4	-2.199	-2.762
GSR	0.291	0.317
HMGCR	-0.883	-1.262
HMGCS1	-2.309	-2.629
IDH1	0.652	0.721
IDH2	0.436	0.214
IDI1	-2.415	-3.283
IDI2	0.655	0.479
IRF8	-0.595	0.089
KEAP1	0.848	-0.063
LDLR	-0.687	-0.939
LPCAT3	1.138	0.711
MBTPS1	-2.148	-2.471
MDH1	0.218	0.363
MDH2	-0.604	-0.753
ME1	0.500	0.658
ME2	0.666	0.490
MLYCD	0.696	0.622
MPC1	0.554	0.670
MYB	-1.624	-2.365
NDUFA8	-0.912	0.529
NDUFS5	-1.071	0.275
PC	0.454	0.202
PDSS1	-0.852	0.118
PDSS2	-1.735	-0.057
PEX26	0.597	0.502
PEX6	0.458	0.462
PGD	-1.877	-1.151
PGP	0.496	0.420
PISD	-0.766	-0.910
PLPP1	0.717	0.487
PLPP2	0.317	0.210
PMVK	-2.349	-2.791
PPARA	0.632	0.365
PPARD	0.678	0.857
PPARG	0.832	0.643
PSTK	-1.223	-2.142
PTDSS1	0.404	-0.026
PTDSS2	0.644	0.553
PTEN	1.027	2.747
RAB18	0.535	-0.582
RAB3GAP1	0.626	0.347
RXRA	0.836	1.138
RXRB	0.475	0.829
SCAP	-0.477	0.029
SCD	-1.582	-0.349
SEPSECS	-2.354	-2.236
SLC1A5	0.538	0.600
SLC25A11	0.129	-0.857
SLC27A1	0.509	0.456
SLC27A2	0.594	-0.040
SLC27A3	0.711	0.534
SLC27A4	0.629	0.293
SLC27A5	0.096	-0.241
SLC3A2	-1.545	-2.680
SLC7A11	0.467	0.362
SQLE	0.468	0.237
SREBF1	0.754	0.497
SREBF2	0.029	0.355
SYVN1	0.514	0.076
TBC1D20	0.237	0.267
TMEM41A	0.466	0.504
TP53	2.547	0.405
TSC1	0.001	1.634
UBE2G2	-0.088	0.405
