g1	g2	fish_p	count	FDR	fish_FDR
ACACA	CHP1	1.352083989023655e-7	7	9.770994015384033e-5	9.770994015384033e-5
ACACA	ERO1A	1.8962977946056427e-5	5	0.006296349319237627	0.006296349319237627
ACACA	FASN	3.380209972559114e-7	8	2.2446878143449653e-4	2.2446878143449653e-4
ACACA	GPAT4	3.380209972559114e-7	8	2.2446878143449653e-4	2.2446878143449653e-4
ACACA	GPI	1.352083989023655e-7	7	9.770994015384033e-5	9.770994015384033e-5
ACACA	LSS	1.8962977946056427e-5	5	0.006296349319237627	0.006296349319237627
ACACA	PGP	1.8962977946056427e-5	5	0.006296349319237627	0.006296349319237627
ACACA	SLC2A1	1.8962977946056427e-5	5	0.006296349319237627	0.006296349319237627
ACO2	C2CD2L	6.7280042990384665e-06	124	0.0028101515957856876	0.0028101515957856876
ACO2	DHRS1	1.5099906335567046e-5	55	0.005456062479677207	0.005456062479677207
ACO2	DND1	3.098012570246609e-5	132	0.009758938186826193	0.009758938186826193
ACO2	GMPR2	1.1877575565006402e-5	84	0.004595873549921099	0.004595873549921099
ACO2	HMBS	4.690623616976452e-8	149	4.4327295223430735e-5	4.4327295223430735e-5
ACO2	HUNK	9.188791056661389e-8	100	7.525773021923289e-5	7.525773021923289e-5
AHR	ARNT	3.042188975303201e-8	13	3.249917574682057e-5	3.249917574682057e-5
AMOTL2	KIRREL1	5.155081209952192e-7	31	3.0923626242391415e-4	3.0923626242391415e-4
AMOTL2	LATS2	2.9387304057859536e-5	16	0.009316912959401779	0.009316912959401779
AMOTL2	NF2	1.6514947413087712e-11	64	4.0578051541327164e-8	4.0578051541327164e-8
AMOTL2	NRP1	1.7518833442557782e-6	18	9.256913916136902e-4	9.256913916136902e-4
AMOTL2	PDCD10	2.1411708413928432e-5	64	0.007014618421125714	0.007014618421125714
ARL6IP1	C2CD2L	1.35165465404029e-5	135	0.005031944041984386	0.005031944041984386
ARL6IP1	HUNK	1.7842070898287122e-5	111	0.006296349319237627	0.006296349319237627
ARL6IP1	PTCD1	1.3693500366928534e-5	116	0.005059490988956654	0.005059490988956654
ARRB2	GMPR2	9.459821142830785e-6	69	0.0037489118611278033	0.0037489118611278033
ARRB2	HMBS	2.4841471365193273e-6	134	0.001208648261739567	0.001208648261739567
ARRB2	MRAP	9.267921213559625e-9	70	1.1306198406910564e-5	1.1306198406910564e-5
ARRB2	PPP1R3G	2.6927086629116005e-5	126	0.008648522640793396	0.008648522640793396
ARRB2	TGM1	1.3294432108308479e-5	55	0.0049870357880487555	0.0049870357880487555
ARSG	DMRT2	1.2303964300115196e-5	17	0.004656209430663328	0.004656209430663328
ARSG	KRTAP4-12	1.2303964300115196e-5	17	0.004656209430663328	0.004656209430663328
C1QBP	HMBS	2.454627993232923e-6	131	0.0012062287421545908	0.0012062287421545908
C1QBP	HUNK	1.4100518635498704e-5	82	0.00517099691244061	0.00517099691244061
C1QBP	SYNJ1	1.733938161712944e-6	49	9.256913916136902e-4	9.256913916136902e-4
C2CD2L	DND1	1.2317763700092236e-5	164	0.004656209430663328	0.004656209430663328
C2CD2L	HMBS	9.91985750199978e-11	181	2.2157805341171416e-7	2.2157805341171416e-7
CBFB	MED13	4.706942386788549e-6	11	0.002202893865039772	0.002202893865039772
CCDC125	TAF9	1.8056437247998283e-8	11	2.063514843729962e-5	2.063514843729962e-5
CDKN1A	CHEK2	1.0851268417321529e-7	33	8.682705268704013e-5	8.682705268704013e-5
CDKN1A	TP53	7.9112472613209e-16	104	5.55380859526529e-12	5.55380859526529e-12
CENPQ	IDO1	1.8962977946056427e-5	5	0.006296349319237627	0.006296349319237627
CENPQ	JADE2	1.8962977946056427e-5	5	0.006296349319237627	0.006296349319237627
CHEK2	TP53	1.0954757262970815e-7	87	8.682705268704013e-5	8.682705268704013e-5
CHEK2	TP53BP1	7.5209671889440644e-6	12	0.003079898738599169	0.003079898738599169
CHP1	FASN	1.2072178473425345e-9	9	1.9774630745419827e-6	1.9774630745419827e-6
CHP1	GPAT4	1.2072178473425345e-9	9	1.9774630745419827e-6	1.9774630745419827e-6
CHP1	GPI	5.401092649010533e-7	8	3.1977722152412845e-4	3.1977722152412845e-4
COQ10B	RFTN2	6.982987978351377e-8	36	5.916396762830431e-5	5.916396762830431e-5
CUL5	UBE2F	1.8962977946056427e-5	5	0.006296349319237627	0.006296349319237627
DEPDC5	NPRL2	6.928398761458704e-16	19	5.55380859526529e-12	5.55380859526529e-12
DHRS1	GMPR2	1.7593260804096336e-9	47	2.6198497853760546e-6	2.6198497853760546e-6
