replicate_ID,DepMap_ID,pDNA_batch
MIA Paca-2-311Cas9 Rep A p6_batch0,ACH-000601,0
MIA Paca-2-311Cas9 Rep B p6_batch0,ACH-000601,0
MIA Paca-2-311Cas9 Rep C p6_batch0,ACH-000601,0
MIA Paca-2-311Cas9 Rep D p6_batch0,ACH-000601,0
NCI-H1792-311Cas9 Rep A p6_batch0,ACH-000496,0
NCI-H1792-311Cas9 Rep B p6_batch0,ACH-000496,0
NCI-H1792-311Cas9 Rep C p6_batch0,ACH-000496,0
NCI-H1792-311Cas9 Rep D p6_batch0,ACH-000496,0
ASPC-1-311Cas9 Rep A p6_batch0,ACH-000222,0
ASPC-1-311Cas9 Rep B p6_batch0,ACH-000222,0
ASPC-1-311Cas9 Rep C p6_batch0,ACH-000222,0
ASPC-1-311Cas9 Rep D p6_batch0,ACH-000222,0
HUP-T3-311cas9 Rep A p6_batch0,ACH-000118,0
HUP-T3-311cas9 Rep B p6_batch0,ACH-000118,0
HUP-T3-311cas9 Rep C p6_batch0,ACH-000118,0
HUP-T3-311cas9 Rep D p6_batch0,ACH-000118,0
RERF-LC-Ad1-311Cas9 Rep A p5_batch0,ACH-000791,0
RERF-LC-Ad1-311Cas9 Rep B p5_batch0,ACH-000791,0
RERF-LC-Ad1-311Cas9 Rep C p5_batch0,ACH-000791,0
RERF-LC-Ad1-311Cas9 Rep D p5_batch0,ACH-000791,0
NCI-H1693-311Cas9 Rep A p4_batch0,ACH-000021,0
NCI-H1693-311Cas9 Rep B p4_batch0,ACH-000021,0
NCI-H1693-311Cas9 Rep C p4_batch0,ACH-000021,0
NCI-H1693-311Cas9 Rep D p4_batch0,ACH-000021,0
A549-311Cas9 Rep A p5_batch0,ACH-000681,0
A549-311Cas9 Rep B p5_batch0,ACH-000681,0
A549-311Cas9 Rep C p5_batch0,ACH-000681,0
A549-311Cas9 Rep D p5_batch0,ACH-000681,0
DAN-G-311Cas9 Rep A p6_batch0,ACH-000243,0
DAN-G-311Cas9 Rep B p6_batch0,ACH-000243,0
DAN-G-311Cas9 Rep C p6_batch0,ACH-000243,0
DAN-G-311Cas9 Rep D p6_batch0,ACH-000243,0
NCI-H2023-311Cas9 Rep A p6_batch0,ACH-000781,0
NCI-H2023-311Cas9 Rep B p6_batch0,ACH-000781,0
NCI-H2023-311Cas9 Rep C p6_batch0,ACH-000781,0
NCI-H2023-311Cas9 Rep D p6_batch0,ACH-000781,0
NCI-H23-311Cas9 Rep A p5_batch0,ACH-000900,0
NCI-H23-311Cas9 Rep B p5_batch0,ACH-000900,0
NCI-H23-311Cas9 Rep C p5_batch0,ACH-000900,0
NCI-H23-311Cas9 Rep D p5_batch0,ACH-000900,0
Panc.02.03-311cas9 Rep A p6_batch0,ACH-000042,0
Panc.02.03-311cas9 Rep B p6_batch0,ACH-000042,0
Panc.02.03-311cas9 Rep C p6_batch0,ACH-000042,0
Panc.02.03-311cas9 Rep D p6_batch0,ACH-000042,0
Panc.04.03-311Cas9 Rep A p5_batch0,ACH-000235,0
Panc.04.03-311Cas9 Rep B p5_batch0,ACH-000235,0
Panc.04.03-311Cas9 Rep C p5_batch0,ACH-000235,0
Panc.04.03-311Cas9 Rep D p5_batch0,ACH-000235,0
SNU-213-311Cas9 Rep A p5_batch0,ACH-000266,0
SNU-213-311Cas9 Rep B p5_batch0,ACH-000266,0
SNU-213-311Cas9 Rep C p5_batch0,ACH-000266,0
SNU-213-311Cas9 Rep D p5_batch0,ACH-000266,0
NCI-H1944-311cas9 Rep A p5_batch0,ACH-000414,0
NCI-H1944-311cas9 Rep B p5_batch0,ACH-000414,0
NCI-H1944-311cas9 Rep C p5_batch0,ACH-000414,0
NCI-H1944-311cas9 Rep D p5_batch0,ACH-000414,0
NCI-H2122-311cas9 Rep A p5_batch0,ACH-000311,0
NCI-H2122-311cas9 Rep B p5_batch0,ACH-000311,0
NCI-H2122-311cas9 Rep C p5_batch0,ACH-000311,0
NCI-H2122-311cas9 Rep D p5_batch0,ACH-000311,0
YAPC-311Cas9 Rep A p6_batch0,ACH-000332,0
YAPC-311Cas9 Rep B p6_batch0,ACH-000332,0
YAPC-311Cas9 Rep C p6_batch0,ACH-000332,0
YAPC-311Cas9 Rep D p6_batch0,ACH-000332,0
KP4-311Cas9 Rep A p7_batch0,ACH-000265,0
KP4-311Cas9 Rep B p7_batch0,ACH-000265,0
