DepMap_ID,stripped_cell_line_name,CCLE_name,alias,COSMIC_ID,Sanger_ID,disease,disease_sutype,disease_sub_subtype,gender,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity
ACH-000001,NIHOVCAR3,NIHOVCAR3_OVARY,OVCAR3,905933.0,2201,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,Female,ATCC,,,,,
ACH-000002,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905938.0,55,leukemia,AML, ,Female,ATCC,,,,,
ACH-000003,CACO2,CACO2_LARGE_INTESTINE,"CACO2, CaCo-2",, ,colorectal, , ,Male,,,,,,
ACH-000004,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907053.0,783,leukemia,AML, ,Male,DSMZ,2.0,-3.0979973074246336,Suspension,RPMI + 10% FBS,47.6
ACH-000005,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,leukemia,AML, ,Male,ATCC,2.0,-2.4310545655082763,Semi-adherent,RPMI + 10% FBS,13.4
ACH-000006,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908148.0,2167,leukemia,AML, ,Male,DSMZ,,,,,
ACH-000007,LS513,LS513_LARGE_INTESTINE,,907795.0,569,colorectal, , ,Male,ATCC,2.0,-2.5867076230269044,Adherent,RPMI + 10% FBS,52.3
ACH-000008,A101D,A101D_SKIN,,910921.0,1806, , , ,Male,ATCC,,,,,
ACH-000009,C2BBE1,C2BBE1_LARGE_INTESTINE,,910700.0,2104,colorectal, , ,Male,ATCC,3.0,-4.140109603585232,Adherent,DMEM + 10% FBS + Glutamine + Insulin-Transferrin-Selenium,5.8
ACH-000010,NCIH2077,NCIH2077_LUNG,NCI-H1581,, ,lung,lung_NSC,lung_adenocarcinoma,Male,,,,,,
ACH-000011,253J,253J_URINARY_TRACT,,, ,urinary_tract, , ,Male,KCLB,1.0,-3.1940129622687268,Adherent,DMEM + 10% FBS,11
ACH-000012,HCC827,HCC827_LUNG,,1240146.0,354,lung,lung_NSC,lung_adenocarcinoma,Female,ATCC,3.0,-4.323350201974532,Adherentepithelialdensity >30%,RPMI + 10% FBS,12.7
ACH-000013,ONCODG1,ONCODG1_OVARY,,, ,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,Female,DSMZ,2.0,-5.34452623441068,Adherent,RPMI + 10% FBS,8
ACH-000014,HS294T,HS294T_SKIN,"A101D, Hs 294.T",, ,skin,melanoma, ,Male,ATCC,2.0,-3.5010598348637254,Adherent,DMEM + 10% FBS,15.1
ACH-000015,NCIH1581,NCIH1581_LUNG,NCI-H2077,908471.0,1237,lung,lung_NSC,lung_large,Male,ATCC,2.0,-4.226156938435151,Adherent,DMEM:F12 (1:1) + 5% FBS,52.8
ACH-000016,SLR21,SLR21_KIDNEY,,, ,kidney, , ,Unknown,,,,,,
ACH-000017,SKBR3,SKBR3_BREAST,,, ,breast,HER2Amp, ,Female,ATCC,2.0,-2.946294316371507,Semi-adherent,McCoy's 5A + 10% FBS,27.1
ACH-000018,T24,T24_URINARY_TRACT,,724812.0,1455,urinary_tract, , ,Female,ATCC,2.0,-2.9899774637553387,Adherent,McCoy's 5A + 10% FBS,34.8
ACH-000019,MCF7,MCF7_BREAST,,905946.0,588,breast,ERpos, ,Female,ATCC,2.0,-2.5221970028279004,Adherent,MEM + 10% FBS + 0.01mg/ml Insulin (Bovine),35
ACH-000020,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908132.0,1906,leukemia,B-cell_ALL, ,Female,DSMZ,,,,,
ACH-000021,NCIH1693,NCIH1693_LUNG,,687802.0,634,lung,lung_NSC,lung_adenocarcinoma,Female,ATCC,4.0,-3.615050927950881,Adherent,RPMI + 10% FBS,14.1
ACH-000022,PATU8988S,PATU8988S_PANCREAS,,, ,pancreas, , ,Female,DSMZ,2.0,-4.900255419589646,Adherent,DMEM + 10% FBS + 2mM Glutamax,6.3
ACH-000023,PATU8988T,PATU8988T_PANCREAS,,1240201.0,1242,pancreas, , ,Female,DSMZ,,,,,
ACH-000024,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909249.0,112,multiple_myeloma, , ,Female,DSMZ,2.0,-4.002715189637796,Suspension,RPMI + 10% FBS,28.1
ACH-000025,CH157MN,CH157MN_CENTRAL_NERVOUS_SYSTEM,,, ,central_nervous_system,meningioma, ,Female,,2.0,-4.209808453776876,Semi-adherent,DMEM + 10% FBS,7.2
ACH-000026,253JBV,253JBV_URINARY_TRACT,,, ,urinary_tract, , ,Male,,,,,,
ACH-000027,GOS3,GOS3_CENTRAL_NERVOUS_SYSTEM,,, ,central_nervous_system, ,glioblastoma,Male,DSMZ,,,,,
ACH-000028,KPL1,KPL1_BREAST,,, ,breast,ERpos, ,Female,DSMZ,3.0,-3.4146547554709725,Adherent,DMEM + 10% FBS,30.4
ACH-000029,HCC827GR5,HCC827GR5_LUNG,HCC827 GR5,, ,lung,lung_NSC,lung_adenocarcinoma,Female,,2.0,-4.540044472483805,Adherent,RPMI + 5% FBS,50.9
ACH-000030,PC14,PC14_LUNG,,753608.0,198,lung,lung_NSC,lung_adenocarcinoma,Male,RIKEN,3.0,-5.41598669075182,Adherent,RPMI + 10% FBS,8.4
ACH-000031,PANC0213,PANC0213_PANCREAS,,, ,pancreas, , ,Female,ATCC,,,,,
ACH-000032,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,leukemia,B-cell_ALL, ,Female,DSMZ,,,,,
ACH-000033,NCIH1819,NCIH1819_LUNG,,, ,lung,lung_NSC,lung_adenocarcinoma,Female,,,,,,
ACH-000034,PLB985,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"PLB985, PLB-985",, ,leukemia,AML, ,Female,,,,,,
ACH-000035,NCIH1650,NCIH1650_LUNG,,687800.0,1548,lung,lung_NSC,lung_adenocarcinoma,Male,ATCC,2.0,-3.0365552409136622,Adherent,RPMI + 10% FBS,8.5
ACH-000036,U343,U343_CENTRAL_NERVOUS_SYSTEM,,, ,central_nervous_system,glioma,glioblastoma,Unknown,,2.0,-3.5555611527246977,Adherent,DMEM + 10% FBS,17.8
ACH-000037,S117,S117_THYROID,,, ,thyroid,thyroid_sarcoma, ,Female,DSMZ,2.0,-4.096532258223999,Adherent,RPMI + 10% FBS,23.6
ACH-000038,EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906854.0,39,lymphoma,B-cell_lymphoma_other, ,Female,DSMZ,,,,,
ACH-000039,SKNMC,SKNMC_BONE,,, ,bone,Ewing_sarcoma, ,Female,ATCC,3.0,-2.5332806782147803,Adherent,MEM + 10% FBS,34.7
ACH-000040,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,,687588.0,7,central_nervous_system,glioma,astrocytoma,Male,ATCC,2.0,-3.818935482251856,Adherent,DMEM + 10% FBS,30.9
ACH-000041,RDES,RDES_BONE,,, ,bone,Ewing_sarcoma, ,Male,ATCC,2.0,-2.7467427516586493,Semi-Adherent,RPMI + 15% FBS,11.7
ACH-000042,PANC0203,PANC0203_PANCREAS,,1298475.0,1838,pancreas, , ,Female,ATCC,4.0,-3.349189858044012,Adherent,RPMI + 10% FBS + 1mM Sodium pyruvate,11.1
ACH-000043,HS895T,HS895T_FIBROBLAST,,, ,fibroblast, , ,Female,ATCC,,,,,
ACH-000044,MDAMB134VI,MDAMB134VI_BREAST,,, ,breast,ERpos, ,Female,ATCC,,,,,
ACH-000045,MV411,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV-4-11,908156.0,133,leukemia,AML, ,Male,ATCC,2.0,-2.8806226850125216,Suspension,IMDM + 10% FBS,11
ACH-000046,ACHN,ACHN_KIDNEY,,905950.0,371,kidney, , ,Male,ATCC,,,,,
ACH-000047,GCIY,GCIY_STOMACH,,906869.0,1414,gastric,gastric_adenocarcinoma, ,Female,RIKEN,2.0,-5.040636517562437,Adherent,MEM + 15% FBS,10.4
ACH-000048,TOV112D,TOV112D_OVARY,,1299070.0,5,ovary,ovary_adenocarcinoma,ovary_endometrioid,Female,ATCC,2.0,-3.1075807183193263,Adherent,MCDB 105:Medium 199 (1:1) + 15% FBS + 1.5g/l Sodium bicarbonate,52.4
ACH-000049,HEKTE,HEKTE_KIDNEY,,, ,kidney,renal,renal_immortalized,Unknown,,,,,,
ACH-000050,NCIH929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,724825.0,1230,multiple_myeloma, , ,Female,ATCC,,,,,
ACH-000051,TE617T,TE617T_SOFT_TISSUE,,, ,rhabdomyosarcoma, , ,Female,ATCC,,,,,
ACH-000052,A673,A673_BONE,,684052.0,660,bone,Ewing_sarcoma, ,Female,ATCC,2.0,-2.9769029990362417,Adherent,DMEM + 10% FBS,32.8
ACH-000053,KARPAS299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907273.0,906,lymphoma,ALCL, ,Male,ECAAC,3.0,-5.376117129007107,Suspension,RPMI + 20% FBS + 2mM Glutamine,44.5
ACH-000054,HT1080,HT1080_SOFT_TISSUE,,907064.0,1391,soft_tissue,fibrosarcoma, ,Male,ATCC,2.0,-3.88931044400408,Adherent,MEM + 10% FBS,14.1
ACH-000055,D283MED,D283MED_CENTRAL_NERVOUS_SYSTEM,D283,906834.0,1184,central_nervous_system,medulloblastoma,med_group_3,Male,ATCC,3.0,-3.772760016781533,Semi-Adherent,MEM + 10% FBS,30.7
ACH-000056,DOHH2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906842.0,1339,lymphoma,DLBCL, ,Male,DSMZ,,,,,
ACH-000057,OPM1,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,, ,multiple_myeloma, , ,Female,,,,,,
ACH-000058,ML1,ML1_THYROID,,1240178.0,1227,thyroid, , ,Unknown,DSMZ,,,,,
ACH-000059,SUPB15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1247871.0,786,leukemia,B-cell_ALL, ,Male,ATCC,,,,,
ACH-000060,PANC1005,PANC1005_PANCREAS,,925348.0,197,pancreas, , ,Male,ATCC,2.0,-3.4391195338018057,Adherent,RPMI + 15% FBS + 2mM Glutamine + 1mM Sodium pyruvate + 60ug/ml Insulin + 10mM HEPES + 1.5g/l Sodium bicarbonate + 4.5g/l Glucose,6.8
ACH-000061,HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907056.0,310,lymphoma,T-cell_lymphoma_other, ,Male,ATCC,,,,,
ACH-000062,RERFLCMS,RERFLCMS_LUNG,,910931.0,2051,lung,lung_NSC,lung_adenocarcinoma,Male,JCRB,,,,,
